fdcId,description,dataType,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g
2709835,"Asparagus, frozen, cooked, no added fat",Survey (FNDDS),18,2.94,1.91,0.42,1.6,
2709837,"Asparagus, NS as to form, cooked",Survey (FNDDS),45,2.3,4.04,2.86,2.2,
2709767,"Asparagus, raw",Survey (FNDDS),20,2.2,3.88,0.12,2.1,
2710607,Atole,Survey (FNDDS),86,1.69,16.28,1.54,0.2,
2710605,Atole de avena,Survey (FNDDS),83,1.74,15.46,1.58,0.2,
2710608,Atole de chocolate,Survey (FNDDS),103,1.8,20.3,1.78,0.6,
2710208,Avocado dressing,Survey (FNDDS),427,1.9,7.36,43.33,0.1,
2710248,"Avocado, for use on a sandwich",Survey (FNDDS),160,2,8.53,14.66,6.7,
2709223,"Avocado, raw",Survey (FNDDS),160,2,8.53,14.66,6.7,
2709363,"Baby Toddler apples, Stage 1",Survey (FNDDS),41,0.2,10.8,0.2,1.7,
2709364,"Baby Toddler apples, Stage 2",Survey (FNDDS),37,0,10.3,0,1.7,
2709365,"Baby Toddler bananas, Stage 1",Survey (FNDDS),91,1,21.34,0.2,1.6,
2709366,"Baby Toddler bananas, Stage 2",Survey (FNDDS),91,1,21.34,0.2,1.6,
2708129,Baby Toddler bar,Survey (FNDDS),344,5.43,68.63,5.3,1.7,
2705861,Baby Toddler beef,Survey (FNDDS),81,12.03,2.43,2.52,0,
2710126,Baby Toddler beets,Survey (FNDDS),34,1.3,7.7,0.1,1.9,
2708131,Baby Toddler biscuit,Survey (FNDDS),395,11.37,80.53,2.97,1.5,
2710118,"Baby Toddler carrots, Stage 1",Survey (FNDDS),26,0.8,6,0.1,1.7,
2710119,"Baby Toddler carrots, Stage 2",Survey (FNDDS),32,0.8,7.2,0.2,1.7,
2708491,"Baby Toddler cereal, barley, dry",Survey (FNDDS),376,13.2,69.4,6.6,6.6,
2708495,"Baby Toddler cereal, multigrain with fruit, dry",Survey (FNDDS),404,6.53,80.47,6.43,6.9,
2708502,"Baby Toddler cereal, multigrain with fruit, ready-to-eat",Survey (FNDDS),88,1.46,19.24,0.68,1.2,
2708496,"Baby Toddler cereal, multigrain, dry",Survey (FNDDS),407,6.67,80.06,6.67,6.7,
2708501,"Baby Toddler cereal, multigrain, ready-to-eat",Survey (FNDDS),75,1.87,15,0.89,1.1,
2708498,"Baby Toddler cereal, NFS",Survey (FNDDS),89,1.92,18.4,0.96,1.8,
2708497,"Baby Toddler cereal, oatmeal with fruit, dry",Survey (FNDDS),392,10.64,74.22,6.13,7.4,
2708503,"Baby Toddler cereal, oatmeal with fruit, ready-to-eat",Survey (FNDDS),89,1.92,18.4,0.96,1.8,
2708492,"Baby Toddler cereal, oatmeal, dry",Survey (FNDDS),394,10.99,73.48,6.36,7.3,
2708500,"Baby Toddler cereal, oatmeal, ready-to-eat",Survey (FNDDS),76,2.54,13.77,1.3,1.9,
2708494,"Baby Toddler cereal, rice with fruit, dry",Survey (FNDDS),388,6.51,83.4,2.17,1.7,
